,Quantile,Time,State variable,Smoothing,Residuals,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,AIC fold,AIC hopf,AIC null,Smax,Smax/Var
0,0.05,249,-0.16619801202838191,-0.08352418180941924,-0.13605247487625088,0.03569203268987081,0.2029544268107152,-0.01703532621139945,-0.13619844492771832,0.45392750514073754,2.2880163495779643e-16,3.3948546619949266e-09,0.002311864742413477,0.05896388313567877
1,0.05,269,0.022296566216800165,-0.10164432736763998,0.00654877489795137,0.03363624029113388,0.2211201443703818,-0.011547429475415434,-0.12416731045087111,0.9973999527705559,1.2615948685471876e-19,3.255975674911366e-09,0.0022486245750361258,0.06581479481293694
2,0.05,289,-0.20450019227314417,-0.07983930011806459,-0.24118692548973064,0.03314483699167908,0.1470682676369537,-0.006779784751612824,-0.07219235569200504,0.9933782458594116,5.985151477011094e-20,5.878031914790649e-08,0.0019499115896305604,0.056877084670637706
3,0.05,309,-0.3458124237206156,-0.1790741022431827,-0.1766686920412595,0.031193660925559967,0.1556705418440582,-0.041693466414872066,-0.1608888053714802,0.43991307189986933,8.565624104655357e-17,2.530767683017895e-08,0.0019519710286188667,0.058291979695980406
4,0.05,329,-0.10957486419059706,-0.130253686561816,-0.09851372934326716,0.029377911001504324,0.15318881512814053,-0.051508555269719626,-0.09823677149983062,0.9689395935886382,9.225933380343181e-17,1.1544595356611233e-07,0.001970557700993165,0.0633586911287834
5,0.05,349,-0.19117099290438394,-0.07245056471259037,-0.3148253778484891,0.032781235108003105,0.19742262325153725,0.055820131637758556,-0.04296562968279076,0.9908198707799694,6.592835817354754e-20,4.119541994262776e-09,0.0019380219746698872,0.05808075303164263
6,0.05,369,-0.2433421660786758,-0.131532577358708,-0.1235015514624603,0.028573290287931617,0.18309193507083754,0.024887903186978238,-0.022412875500364828,0.9998349036942996,2.863992092273197e-19,7.604685285441813e-08,0.001930025045352753,0.05771028936286578
7,0.05,389,-0.1917134623460288,-0.0890594162025015,-0.22048328190502187,0.03281184968530193,0.18740428661416111,0.03732773337652266,-0.06981360756838717,0.42367457309630313,2.0864967603106648e-16,1.647223283485815e-09,0.0022680824892604094,0.06115563780694952
8,0.05,409,-0.20775495050240178,-0.1356163935244249,-0.11540628753731405,0.030581677880480967,0.20602144383334686,0.05088792466875087,-0.09899332002590731,0.9851129196365054,1.3274890496515338e-14,1.4289244651631043e-09,0.0020760081809314715,0.06699624467386146
9,0.05,429,-0.2758882667857134,-0.06986628415792498,-0.2315892814995273,0.03090820855879106,0.2063951309437333,0.07887360882545474,-0.057579873939482065,0.488283221225682,4.8773845406290865e-17,6.692833562900915e-08,0.0022411526862148247,0.06717162786150083
10,0.05,449,-0.21970718431471187,-0.07217284041699626,-0.3042411852793849,0.03135198669859854,0.23838272994805804,0.0978611370782344,-0.04357177652483877,0.9999516495052077,2.5359577413168135e-17,6.750801550013506e-13,0.0024914905922276158,0.07608963741117783
11,0.05,469,-0.23521892192409527,-0.029731340343028094,-0.25947509988103745,0.03261351038353439,0.298367994919713,0.08350601392000785,0.044620790864822533,0.9999718463839968,1.0337265863614188e-14,1.265148494285711e-13,0.002531268120443994,0.0765466459798004
12,0.05,489,-0.2678710276322927,-0.18527509404388387,-0.17465599092142634,0.03195000464832966,0.3160748058515044,0.17018058776549388,0.07922608121252814,0.077429268156059,5.773112037442133e-18,4.960758524361386e-16,0.003058740773533553,0.08768195967214984
13,0.05,509,-0.20750223644493254,-0.14231471046117755,-0.25720421385644776,0.0321778753866231,0.3445328794845577,0.15117158897305394,0.06675702221513344,0.9149886517005978,3.705223132564881e-17,4.4094274767175805e-14,0.0026477822290497336,0.07887245823643305
14,0.05,529,-0.1981533322835733,-0.09546273836144013,-0.20183201516337365,0.035483246692377284,0.3494825861509836,0.17780946821579768,0.04209505529177189,0.44042273545036653,2.28563280900496e-14,1.9076686301964342e-15,0.0029849934823490544,0.07962181155915356
15,0.05,549,-0.23106913582983885,-0.2176051455657873,-0.2376971598396835,0.03737739538276566,0.41568545091832665,0.23605488142956343,0.05734017182227207,0.9920233123252693,3.4808323201688895e-16,5.6299294090518224e-18,0.0038903145166474737,0.09580298369050856
