Time,Sample,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,AIC fold,AIC hopf,AIC null,Smax
199,1,0.0346281951216727,-0.040669782662843504,-0.0857338653950323,-0.18376794017560097,0.002718933228955418,8.773852809168145e-08,0.9972809790325166,0.002150169202972726
199,2,0.0433759093046741,-0.21666531313583248,-0.06348875033863818,-0.09060744555595396,5.648245856382032e-10,0.9977728968806352,0.002227102554540249,0.002186253351766737
219,1,0.03956343964612979,-0.2736069143409414,-0.05982896711784307,-0.07500941794179697,1.7923409871349338e-11,0.9999945817795254,5.418202551195544e-06,0.00271211263145713
219,2,0.03163736601558223,-0.059783783729775046,-0.06583176031749369,-0.17362804403443655,0.09765524793531036,0.18234319027348203,0.7200015617912076,0.0022114718591536454
239,1,0.0488119834441786,-0.4416248757970137,0.12082712456222582,-0.11029144528002557,1.9078400414525746e-22,0.9999999999999996,3.692306302142029e-16,0.0029971803827713523
239,2,0.037392755257195195,-0.16282015999334887,0.018264668443695314,-0.17554794714868904,0.00173297768208947,9.444367684572335e-10,0.9982670213734738,0.0021341453600838235
259,1,0.04058959499888108,-0.332557242806116,0.004164066552954124,0.014388639682486267,3.898269010768068e-19,0.9999999999719804,2.8019668984328882e-11,0.0017639325488977967
259,2,0.04373547567782441,-0.3641047975208939,0.11829613801053489,-0.07595949164107173,1.3056729056776495e-14,0.9999999990593504,9.406365630846328e-10,0.003947337825711179
279,1,0.05430342468595643,-0.5388992016501737,0.29492403881345725,-0.18542866071210345,6.523616907244172e-30,1.0,6.923439203017506e-25,0.0041709881039
279,2,0.05209652337293154,-0.5409700143140145,0.2581900443711012,-0.15057512271636245,2.1610381263564264e-35,1.0,1.1244719826953586e-29,0.004254357316908884
299,1,0.05983965779896277,-0.6291861653454128,0.3542148089639953,-0.28481347408707647,2.589586812134159e-37,1.0,4.400803016211776e-34,0.00929610196186656
299,2,0.06813476695560093,-0.6591688801917122,0.35035458505603806,-0.24601662912800934,7.046027517887028e-39,1.0,9.484085921413186e-35,0.007372094780086485
319,1,0.07150842614201515,-0.6904377989976812,0.48756343839914806,-0.2736704025958006,1.9335919023988015e-23,1.0,6.662344142355634e-20,0.005688999397494799
319,2,0.0511429847586384,-0.5831358947063867,0.1868161867235515,-0.09572435146378058,1.964934213374457e-29,1.0,4.87292828796735e-24,0.0036633787085894854
